iter	Passed	Remaining
0	179	179292
1	201	100583
2	219	72891
3	232	57866
4	246	49113
5	259	43027
6	275	39118
7	289	35855
8	304	33487
9	317	31418
10	331	29774
11	346	28545
12	361	27429
13	378	26682
14	395	25949
15	411	25318
16	428	24792
17	443	24170
18	458	23688
19	473	23216
20	489	22839
21	505	22483
22	522	22176
23	536	21836
24	554	21615
25	570	21387
26	587	21165
27	603	20947
28	621	20800
29	637	20611
30	654	20456
31	672	20328
32	688	20171
33	706	20058
34	721	19895
35	739	19810
36	755	19664
37	773	19585
38	790	19466
39	807	19380
40	824	19274
41	841	19195
42	856	19072
43	875	19024
44	897	19050
45	920	19083
46	938	19024
47	959	19035
48	979	19013
49	998	18967
50	1010	18804
51	1030	18784
52	1048	18742
53	1067	18704
54	1086	18674
55	1103	18602
56	1122	18563
57	1141	18545
58	1159	18497
59	1179	18472
60	1199	18457
61	1216	18399
62	1243	18497
63	1260	18432
64	1277	18372
65	1294	18317
66	1311	18257
67	1326	18187
68	1343	18132
69	1360	18073
70	1378	18037
71	1395	17981
72	1412	17930
73	1428	17871
74	1444	17811
75	1461	17762
76	1476	17702
77	1493	17652
78	1509	17601
79	1525	17546
80	1541	17494
81	1558	17442
82	1574	17396
83	1592	17360
84	1608	17314
85	1624	17263
86	1641	17228
87	1657	17174
88	1673	17127
89	1689	17077
90	1704	17024
91	1719	16975
92	1735	16921
93	1750	16872
94	1766	16825
95	1781	16778
96	1793	16699
97	1809	16654
98	1824	16609
99	1840	16560
100	1855	16518
101	1871	16476
102	1887	16434
103	1902	16394
104	1918	16351
105	1933	16305
106	1948	16263
107	1964	16227
108	1980	16187
109	1995	16148
110	2007	16081
111	2023	16043
112	2040	16016
113	2056	15980
114	2072	15945
115	2087	15911
116	2103	15872
117	2118	15834
118	2134	15802
119	2150	15773
120	2166	15738
121	2183	15716
122	2200	15686
123	2215	15651
124	2230	15616
125	2246	15581
126	2261	15546
127	2277	15516
128	2293	15485
129	2309	15452
130	2324	15416
131	2339	15381
132	2355	15353
133	2370	15322
134	2386	15290
135	2401	15256
136	2416	15221
137	2431	15190
138	2448	15166
139	2464	15141
140	2480	15112
141	2496	15084
142	2512	15055
143	2527	15027
144	2546	15012
145	2563	14993
146	2579	14967
147	2595	14942
148	2612	14918
149	2627	14891
150	2644	14866
151	2659	14839
152	2675	14810
153	2690	14782
154	2707	14758
155	2722	14730
156	2738	14702
157	2754	14680
158	2770	14653
159	2786	14628
160	2802	14602
161	2817	14573
162	2833	14547
163	2849	14527
164	2867	14510
165	2883	14485
166	2899	14460
167	2915	14436
168	2930	14411
169	2946	14387
170	2962	14363
171	2978	14337
172	2994	14316
173	3010	14290
174	3026	14265
175	3041	14240
176	3057	14216
177	3073	14193
178	3089	14171
179	3105	14145
180	3120	14119
181	3136	14096
182	3152	14072
183	3167	14047
184	3183	14024
185	3199	14000
186	3214	13974
187	3229	13949
188	3244	13922
189	3259	13895
190	3276	13879
191	3292	13856
192	3307	13828
193	3322	13804
194	3338	13780
195	3354	13759
196	3369	13735
197	3386	13715
198	3402	13697
199	3420	13683
200	3437	13666
201	3455	13649
202	3472	13634
203	3490	13619
204	3507	13602
205	3524	13584
206	3540	13563
207	3557	13547
208	3573	13524
209	3589	13502
210	3605	13481
211	3620	13458
212	3636	13436
213	3652	13414
214	3668	13395
215	3684	13374
216	3700	13351
217	3715	13328
218	3731	13306
219	3746	13284
220	3762	13262
221	3777	13239
222	3793	13216
223	3809	13196
224	3825	13175
225	3840	13153
226	3856	13134
227	3871	13110
228	3887	13088
229	3903	13067
230	3919	13046
231	3934	13023
232	3949	13001
233	3965	12979
234	3980	12958
235	3995	12935
236	4011	12915
237	4028	12896
238	4044	12878
239	4060	12859
240	4077	12841
241	4093	12820
242	4108	12799
243	4124	12779
244	4139	12756
245	4155	12736
246	4170	12714
247	4185	12691
248	4201	12670
249	4217	12651
250	4232	12631
251	4248	12609
252	4263	12589
253	4278	12567
254	4294	12546
255	4310	12528
256	4326	12509
257	4342	12488
258	4357	12467
259	4373	12446
260	4388	12424
261	4403	12403
262	4418	12382
263	4433	12361
264	4449	12340
265	4464	12320
266	4479	12298
267	4495	12279
268	4511	12259
269	4528	12242
270	4547	12232
271	4565	12218
272	4583	12205
273	4603	12197
274	4621	12183
275	4641	12175
276	4660	12163
277	4678	12151
278	4697	12139
279	4715	12126
280	4734	12115
281	4753	12103
282	4773	12093
283	4792	12081
284	4811	12070
285	4829	12056
286	4848	12046
287	4866	12031
288	4885	12020
289	4905	12010
290	4924	11998
291	4943	11987
292	4961	11970
293	4980	11960
294	5006	11965
295	5024	11949
296	5040	11930
297	5059	11917
298	5075	11898
299	5091	11880
300	5107	11861
301	5124	11843
302	5141	11826
303	5156	11805
304	5173	11789
305	5190	11772
306	5209	11759
307	5226	11743
308	5245	11730
309	5264	11718
310	5284	11707
311	5302	11692
312	5322	11681
313	5338	11663
314	5354	11644
315	5371	11627
316	5388	11609
317	5405	11592
318	5421	11574
319	5439	11558
320	5456	11541
321	5472	11522
322	5488	11503
323	5505	11485
324	5521	11467
325	5538	11451
326	5554	11432
327	5570	11412
328	5586	11393
329	5602	11373
330	5618	11355
331	5633	11335
332	5649	11315
333	5663	11293
334	5679	11273
335	5694	11253
336	5710	11234
337	5726	11215
338	5741	11194
339	5756	11174
340	5771	11153
341	5787	11135
342	5803	11115
343	5818	11096
344	5834	11076
345	5849	11055
346	5865	11037
347	5881	11019
348	5897	11000
349	5912	10980
350	5928	10961
351	5944	10942
352	5961	10926
353	5977	10907
354	5992	10888
355	6009	10871
356	6025	10853
357	6042	10836
358	6059	10818
359	6075	10800
360	6091	10783
361	6108	10766
362	6126	10751
363	6143	10733
364	6159	10715
365	6175	10697
366	6192	10680
367	6210	10665
368	6278	10735
369	6305	10735
370	6323	10720
371	6338	10700
372	6354	10681
373	6370	10662
374	6386	10643
375	6402	10626
376	6419	10608
377	6435	10590
378	6451	10571
379	6467	10553
380	6483	10533
381	6499	10515
382	6515	10496
383	6532	10479
384	6547	10459
385	6563	10440
386	6578	10420
387	6593	10400
388	6609	10381
389	6625	10362
390	6641	10344
391	6656	10325
392	6672	10306
393	6688	10287
394	6704	10269
395	6720	10250
396	6736	10231
397	6751	10211
398	6766	10191
399	6781	10172
400	6797	10153
401	6812	10134
402	6827	10114
403	6843	10096
404	6858	10076
405	6874	10057
406	6890	10039
407	6905	10020
408	6921	10000
409	6937	9983
410	6952	9964
411	6968	9944
412	6983	9925
413	6998	9906
414	7013	9886
415	7028	9866
416	7043	9848
417	7059	9829
418	7075	9810
419	7090	9791
420	7106	9772
421	7121	9754
422	7137	9735
423	7152	9716
424	7168	9699
425	7184	9680
426	7200	9662
427	7215	9643
428	7231	9625
429	7247	9606
430	7263	9588
431	7279	9571
432	7296	9554
433	7313	9538
434	7330	9520
435	7346	9502
436	7363	9486
437	7378	9467
438	7394	9449
439	7409	9429
440	7423	9410
441	7438	9391
442	7453	9372
443	7469	9354
444	7485	9335
445	7501	9317
446	7516	9299
447	7531	9280
448	7546	9261
449	7562	9242
450	7579	9225
451	7594	9207
452	7609	9188
453	7623	9168
454	7638	9148
455	7652	9129
456	7667	9110
457	7696	9108
458	7718	9097
459	7744	9091
460	7761	9075
461	7777	9056
462	7791	9036
463	7806	9017
464	7820	8997
465	7833	8977
466	7848	8957
467	7862	8938
468	7878	8920
469	7893	8901
470	7908	8882
471	7923	8863
472	7937	8843
473	7951	8823
474	7965	8804
475	7980	8785
476	7996	8767
477	8011	8748
478	8026	8729
479	8041	8711
480	8056	8692
481	8072	8675
482	8088	8657
483	8103	8638
484	8118	8620
485	8132	8601
486	8148	8583
487	8165	8567
488	8179	8547
489	8195	8529
490	8209	8510
491	8224	8491
