,perm_importance_mean,perm_importance_std
kyc_tier_low,0.06365224449848697,0.020628172198955054
location_mismatch,0.031079663680225557,0.006661323198186118
kyc_tier_standard,0.030798302290641434,0.026310578840173866
corridor_risk,0.02844914361519864,0.015056182363521565
device_trust_score,0.026888928888324337,0.00972041945000164
account_age_days,0.024172152002205783,0.015199882964998565
amount_src,0.023212616849441193,0.013465880480300188
amount_cohort_zscore,0.02140964000268631,0.003097922693834013
amount_usd,0.0197905760712511,0.010566213702720964
avg_amount_7d,0.01683234391473253,0.0045319550408155235
log_amount,0.013632391301757026,0.011730946791170033
dest_currency_usd,0.0101904281359077,0.01012595338877626
days_since_last_txn,0.007035359189720275,0.0061032075097757175
txn_velocity_1h,0.006659886164713451,0.008752530471066885
txn_velocity_24h,0.0035007092635745848,0.008969139389712066
channel_mobile,0.0034284183067004813,0.004580906514411116
txn_count_24h,0.002825069634945274,0.013741632239138062
ip_country_uk,0.0015880022558878298,0.0028575408725058735
source_currency_usd,0.0003611486575196943,0.009720039667911965
home_country_us,0.0003611486575196943,0.009720039667911965
fee_pct,0.00023131386305809133,0.0005457474548144338
ip_address_was_missing,0.0001488252379643895,0.00034276354605981493
txn_day,1.8384051561032288e-05,1.7702635772103804e-05
dest_currency_mxn,1.4587498382651055e-06,7.01049991781752e-06
dest_currency_eur,0.0,0.0
distinct_devices_30d,0.0,0.0
amount_to_lifetime_mean_ratio,0.0,0.0
exchange_rate_src_to_dest,0.0,0.0
risk_score_internal,-6.890525487609906e-05,0.0006221055580359771
dest_currency_inr,-0.0004290976633733928,0.0030117300743681876
chargeback_history_count,-0.000482798953800416,0.002084373306183755
ip_country_us,-0.0005656801072533885,0.0007305442323364041
is_weekend,-0.0008794226404065617,0.000756493730176702
home_country_uk,-0.0017431641218784086,0.008317323988719488
source_currency_gbp,-0.0017431641218784086,0.008317323988719488
hbos_score,-0.001874984644640508,0.010533504383761149
new_device,-0.0026923741297633585,0.0077927034750537505
dest_currency_php,-0.0035145273624135635,0.014351375342335946
iso_forest_score,-0.004119315931028288,0.014869446340199939
dest_currency_cny,-0.005293890909184959,0.005953226168196186
txn_month,-0.0069990438108458505,0.01013957895523912
dest_currency_gbp,-0.007289101705523991,0.016139679041589784
txn_day_of_week,-0.007522474264848105,0.012143290639158363
txn_hour,-0.007631494957047164,0.01066925485496487
distinct_ips_30d,-0.008797133467802634,0.008911862715994182
txn_count_7d,-0.009148470908423422,0.013838438886180877
dest_currency_ngn,-0.017379274223924237,0.01397100355793023
channel_web,-0.02662674394943528,0.019115714148363654
ip_risk_score,-0.029308095084785886,0.003217629082528836
total_amount_30d,-0.03583179374905823,0.01655889107713009
fee,-0.03788214270213878,0.01954085418287499
